"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-May-2025","EQ","1,479.00","1,552.00","1,470.70","1,479.10","1,500.10","1,512.20","1,522.71","2,399.80","1,276.00","25,639","3,90,40,844.90","3,458"
"27-May-2025","EQ","1,481.90","1,500.80","1,468.90","1,476.90","1,475.20","1,479.10","1,480.40","2,399.80","1,276.00","8,032","1,18,90,541.90","1,189"
"26-May-2025","EQ","1,451.70","1,486.00","1,451.70","1,451.70","1,482.00","1,476.90","1,472.16","2,399.80","1,276.00","9,833","1,44,75,779.50","1,839"
"23-May-2025","EQ","1,462.50","1,496.70","1,444.50","1,455.50","1,446.00","1,451.70","1,465.29","2,399.80","1,276.00","10,192","1,49,34,247.70","1,790"
"22-May-2025","EQ","1,450.00","1,475.00","1,444.70","1,458.00","1,445.50","1,455.50","1,457.41","2,399.80","1,276.00","7,636","1,11,28,790.20","1,231"
"21-May-2025","EQ","1,462.20","1,479.80","1,443.20","1,454.50","1,454.10","1,458.00","1,462.70","2,399.80","1,276.00","10,129","1,48,15,722.50","1,866"
"20-May-2025","EQ","1,480.80","1,503.10","1,442.00","1,480.80","1,465.00","1,454.50","1,469.73","2,399.80","1,276.00","24,001","3,52,74,892.90","3,920"
"19-May-2025","EQ","1,482.60","1,533.00","1,470.70","1,496.20","1,483.10","1,480.80","1,502.64","2,399.80","1,276.00","27,619","4,15,01,496.70","4,118"
"16-May-2025","EQ","1,517.50","1,547.40","1,482.00","1,497.20","1,499.80","1,496.20","1,512.97","2,399.80","1,276.00","25,374","3,83,90,118.00","4,954"
"15-May-2025","EQ","1,535.00","1,547.20","1,491.00","1,520.30","1,500.00","1,497.20","1,512.00","2,399.80","1,276.00","19,452","2,94,11,477.60","2,444"
"14-May-2025","EQ","1,485.80","1,547.90","1,482.50","1,474.00","1,515.00","1,520.30","1,517.73","2,399.80","1,276.00","17,125","2,59,91,080.80","2,464"
"13-May-2025","EQ","1,505.80","1,523.20","1,467.00","1,497.90","1,470.20","1,474.00","1,492.32","2,399.80","1,276.00","18,150","2,70,85,529.30","3,770"
"12-May-2025","EQ","1,426.10","1,515.00","1,426.10","1,393.80","1,515.00","1,497.90","1,482.66","2,399.80","1,276.00","8,878","1,31,63,041.50","1,918"
"09-May-2025","EQ","1,387.50","1,404.90","1,370.00","1,408.60","1,383.00","1,393.80","1,389.53","2,399.80","1,276.00","10,423","1,44,83,039.70","2,804"
"08-May-2025","EQ","1,425.60","1,457.10","1,401.10","1,418.20","1,403.10","1,408.60","1,431.43","2,399.80","1,276.00","11,074","1,58,51,685.40","2,065"
"07-May-2025","EQ","1,430.70","1,454.50","1,404.40","1,452.50","1,426.00","1,418.20","1,421.25","2,399.80","1,276.00","17,722","2,51,87,441.10","4,082"
"06-May-2025","EQ","1,474.60","1,491.90","1,435.00","1,474.60","1,445.00","1,452.50","1,458.62","2,399.80","1,276.00","12,816","1,86,93,612.80","3,634"
"05-May-2025","EQ","1,480.00","1,500.00","1,462.10","1,501.00","1,472.00","1,474.60","1,477.72","2,399.80","1,276.00","17,037","2,51,75,860.80","4,794"
"02-May-2025","EQ","1,542.90","1,555.00","1,486.20","1,535.40","1,500.00","1,501.00","1,509.01","2,399.80","1,276.00","16,475","2,48,60,976.20","3,706"
"30-Apr-2025","EQ","1,551.50","1,561.10","1,520.00","1,565.20","1,521.00","1,535.40","1,543.25","2,399.80","1,276.00","4,653","71,80,729.70","1,601"
"29-Apr-2025","EQ","1,565.00","1,605.90","1,541.00","1,567.80","1,541.40","1,565.20","1,580.64","2,399.80","1,276.00","17,058","2,69,62,518.00","4,550"
"28-Apr-2025","EQ","1,625.00","1,625.00","1,513.80","1,632.20","1,554.00","1,567.80","1,561.61","2,399.80","1,276.00","40,023","6,25,00,251.00","9,786"
"25-Apr-2025","EQ","1,630.00","1,714.20","1,552.10","1,627.00","1,630.00","1,632.20","1,647.09","2,399.80","1,276.00","39,418","6,49,25,021.10","10,743"
"24-Apr-2025","EQ","1,630.00","1,695.40","1,614.40","1,635.00","1,625.10","1,627.00","1,650.38","2,399.80","1,276.00","16,094","2,65,61,266.10","4,583"
"23-Apr-2025","EQ","1,628.00","1,651.10","1,600.00","1,620.30","1,622.00","1,635.00","1,631.73","2,399.80","1,276.00","14,288","2,33,14,095.80","3,555"
"22-Apr-2025","EQ","1,576.00","1,629.60","1,546.60","1,572.80","1,608.00","1,620.30","1,590.93","2,399.80","1,276.00","12,928","2,05,67,600.40","3,246"
"21-Apr-2025","EQ","1,512.60","1,582.00","1,499.30","1,517.70","1,564.20","1,572.80","1,555.70","2,399.80","1,276.00","16,455","2,55,99,053.70","7,164"
"17-Apr-2025","EQ","1,509.30","1,566.70","1,490.80","1,518.40","1,512.60","1,517.70","1,530.94","2,399.80","1,276.00","19,829","3,03,56,948.60","6,445"
"16-Apr-2025","EQ","1,434.80","1,547.30","1,401.00","1,427.70","1,520.00","1,518.40","1,497.26","2,399.80","1,276.00","39,167","5,86,43,037.40","10,410"
"15-Apr-2025","EQ","1,410.80","1,440.40","1,393.50","1,387.25","1,430.00","1,427.70","1,418.09","2,399.80","1,276.00","17,446","2,47,40,039.20","4,672"
"11-Apr-2025","EQ","1,325.95","1,449.00","1,315.45","1,296.45","1,375.00","1,387.25","1,407.04","2,399.80","1,276.00","85,686","12,05,63,650.55","14,758"
"09-Apr-2025","EQ","1,343.50","1,370.95","1,276.00","1,339.15","1,285.30","1,296.45","1,308.36","2,399.80","1,276.00","39,077","5,11,26,835.60","10,000"
"08-Apr-2025","EQ","1,374.60","1,400.05","1,320.50","1,338.05","1,324.25","1,339.15","1,347.48","2,399.80","1,278.05","13,181","1,77,61,137.80","3,371"
"07-Apr-2025","EQ","1,400.00","1,400.00","1,278.05","1,440.15","1,357.20","1,338.05","1,314.31","2,399.80","1,278.05","31,377","4,12,39,062.40","8,509"
"04-Apr-2025","EQ","1,538.60","1,554.00","1,413.20","1,562.05","1,448.95","1,440.15","1,478.93","2,399.80","1,278.80","19,375","2,86,54,187.15","5,016"
"03-Apr-2025","EQ","1,538.40","1,595.85","1,488.00","1,530.30","1,560.00","1,562.05","1,533.14","2,399.80","1,278.80","14,629","2,24,28,272.15","3,760"
"02-Apr-2025","EQ","1,542.50","1,561.55","1,520.50","1,556.70","1,525.00","1,530.30","1,539.49","2,399.80","1,278.80","3,570","54,95,994.60","1,017"
"01-Apr-2025","EQ","1,552.90","1,590.00","1,515.00","1,559.50","1,535.65","1,556.70","1,552.93","2,399.80","1,278.80","14,199","2,20,50,067.05","3,103"
"28-Mar-2025","EQ","1,522.00","1,577.65","1,512.20","1,522.60","1,570.00","1,559.50","1,540.76","2,399.80","1,278.80","25,189","3,88,10,168.25","7,580"
"27-Mar-2025","EQ","1,522.90","1,581.70","1,475.60","1,522.90","1,514.90","1,522.60","1,541.15","2,399.80","1,278.80","21,938","3,38,09,843.40","5,945"
"26-Mar-2025","EQ","1,525.00","1,669.85","1,515.00","1,563.70","1,538.00","1,522.90","1,602.72","2,399.80","1,278.80","56,660","9,08,10,253.20","13,073"
"25-Mar-2025","EQ","1,493.40","1,575.00","1,493.40","1,487.80","1,561.30","1,563.70","1,551.72","2,399.80","1,278.80","49,589","7,69,48,311.40","9,893"
"24-Mar-2025","EQ","1,411.70","1,515.00","1,405.35","1,404.25","1,486.55","1,487.80","1,472.48","2,399.80","1,278.80","28,265","4,16,19,547.70","7,446"
"21-Mar-2025","EQ","1,411.40","1,460.00","1,390.00","1,406.30","1,394.00","1,404.25","1,424.41","2,399.80","1,278.80","14,349","2,04,38,820.30","3,789"
"20-Mar-2025","EQ","1,427.95","1,465.65","1,397.00","1,426.30","1,398.00","1,406.30","1,438.75","2,399.80","1,278.80","38,021","5,47,02,617.90","7,448"
"19-Mar-2025","EQ","1,491.10","1,512.00","1,413.00","1,496.20","1,417.60","1,426.30","1,454.50","2,399.80","1,278.80","46,159","6,71,38,349.15","6,192"
"18-Mar-2025","EQ","1,372.00","1,555.05","1,372.00","1,361.85","1,509.95","1,496.20","1,495.77","2,399.80","1,278.80","44,800","6,70,10,651.45","8,199"
"17-Mar-2025","EQ","1,423.95","1,435.95","1,352.00","1,406.55","1,370.00","1,361.85","1,390.68","2,399.80","1,278.80","23,603","3,28,24,112.10","4,516"
"13-Mar-2025","EQ","1,460.30","1,494.95","1,393.00","1,453.00","1,393.00","1,406.55","1,425.34","2,399.80","1,278.80","20,070","2,86,06,478.90","4,413"
"12-Mar-2025","EQ","1,471.10","1,474.45","1,431.95","1,463.40","1,450.05","1,453.00","1,452.10","2,399.80","1,278.80","13,895","2,01,76,922.60","2,798"
"11-Mar-2025","EQ","1,486.85","1,500.00","1,445.65","1,504.75","1,453.55","1,463.40","1,475.75","2,399.80","1,278.80","29,097","4,29,39,788.00","3,374"
"10-Mar-2025","EQ","1,609.65","1,627.00","1,481.00","1,609.65","1,481.00","1,504.75","1,544.82","2,399.80","1,278.80","12,991","2,00,68,701.70","1,279"
"07-Mar-2025","EQ","1,628.00","1,635.00","1,600.00","1,625.35","1,605.00","1,609.65","1,615.21","2,399.80","1,278.80","7,747","1,25,13,069.20","1,325"
"06-Mar-2025","EQ","1,620.10","1,658.25","1,595.00","1,628.25","1,634.10","1,625.35","1,620.77","2,399.80","1,278.80","10,126","1,64,11,876.45","2,728"
